,Ticker,Date,CR,QR,IntT,Wcap,DSO
142,AMAT,2017-10-29,1.7682,2.3363,3.2149,4323.0,58.5425
143,AMAT,2016-10-30,1.0322,1.6597,3.2521,3516.0,78.1071
144,KHC,2018-12-29,0.1506,0.4344,6.3929,643.0,29.5019
145,KHC,2017-12-30,0.1604,0.2511,6.2612,-681.0,12.8564
146,KHC,2016-12-31,0.4425,0.5234,6.4708,-543.0,10.614
147,ADSK,2019-01-31,0.4144,0.6205,0.0,372.7,67.3669
148,ADSK,2018-01-31,0.6232,0.8296,0.0,343.5,77.7706
149,ADSK,2017-01-31,0.8694,1.0763,0.0,358.8,81.5075
150,ROST,2019-02-02,0.7031,0.7512,6.3241,670.049,2.3494
151,ROST,2018-02-03,0.6701,0.7157,6.3669,669.7589999999999,2.3063
152,ROST,2017-01-28,0.6343,0.6772,6.2577,566.305,2.1261
153,NTES,2018-12-31,1.4231,1.5453,7.3866,6921.505,23.3083
154,NTES,2017-12-31,1.8152,1.9676,7.9935,6652.123000000001,24.4205
155,NTES,2016-12-31,1.8973,2.1189,13.7861,4433.24,40.7549
156,ATVI,2018-12-31,1.5992,1.9909,56.5618,825.0,50.37
157,ATVI,2017-12-31,1.2867,1.5373,52.6526,641.0,47.7512
158,ATVI,2016-12-31,1.2218,1.4974,27.0508,559.0,40.5436
159,FISV,2018-12-31,0.2065,0.7284,0.0,922.0,65.7539
160,FISV,2017-12-31,0.1677,0.6821,0.0,917.0,63.8878
161,FISV,2016-12-31,0.1648,0.6604,0.0,792.0,59.9695
162,XLNX,2019-03-30,6.6851,7.3907,3.4668,533.0319999999998,39.8818
163,XLNX,2018-03-31,3.7805,4.1996,3.2106,519.3240000000002,56.399
164,XLNX,2017-04-01,3.702,3.9739,3.4923,362.655,37.7917
165,EBAY,2018-12-31,1.1035,1.2634,0.0,426.0,24.1839
166,EBAY,2017-12-31,1.6474,1.8429,0.0,366.0,25.5908
167,EBAY,2016-12-31,1.8583,2.0122,0.0,309.0,23.3031
168,ERIC,2018-12-31,0.4058,0.8826,5.2056,52248.0,91.5382
169,ERIC,2017-12-31,0.428,0.9289,5.5087,49085.0,88.6082
170,ERIC,2016-12-31,0.4989,1.0047,5.1641,56757.0,84.6955
171,ALXN,2018-12-31,1.332,2.1176,0.8024,1394.8,81.4871
172,ALXN,2017-12-31,1.5476,2.3103,1.0878,1116.1,74.6733
173,ALXN,2016-12-31,1.5718,2.3612,0.7772,960.2,77.0901
174,PAYX,2019-05-31,0.1471,0.2339,0.0,344.6,40.6846
175,PAYX,2018-05-31,0.0801,0.1508,0.0,300.9,40.4799
176,PAYX,2017-05-31,0.0684,0.1758,0.0,450.3,58.7813
177,AMD,2018-12-29,0.5827,1.2051,5.2346,1552.0,69.42699999999999
178,AMD,2017-12-30,0.7832,1.0833,4.7972,764.0,31.4594
179,AMD,2016-12-31,0.9391,1.1701,4.641,622.0,26.7147
180,LRCX,2019-06-30,2.2901,2.9038,3.0999,2995.6620000000007,55.9378
181,LRCX,2018-06-24,1.5711,2.2622,3.803,3542.115,71.5361
182,LRCX,2017-06-25,2.0478,2.615,4.0006,2441.6710000000007,76.0102
183,LRCX,2016-06-26,2.8237,3.3457,3.4115,1885.857,78.0546
184,MNST,2018-12-31,1.5939,2.3999,5.667999999999998,513.464,46.4515
185,MNST,2017-12-31,2.1443,2.9463,5.8957,459.216,48.6856
186,MNST,2016-12-31,1.271,2.2226,6.9627,416.516,53.7485
187,EA,2019-03-31,2.404,2.6790000000000003,0.0,510.0,45.9384
188,EA,2018-03-31,2.1401,2.2947,0.0,337.0,27.2864
189,EA,2017-03-31,1.8766,2.0253,0.0,272.0,27.0454
190,NXPI,2018-12-31,0.8239,1.0579,3.6231,1072.0,30.7303
191,NXPI,2017-12-31,1.305,1.6284,3.9481,969.0,34.6624
192,NXPI,2016-12-31,0.7785,1.203,3.629,1173.0,39.8061
193,XEL,2018-12-31,0.033,0.3951,8.1727,926.0,51.0943
194,XEL,2017-12-31,0.0203,0.4022,7.6013,928.0,49.9619
195,XEL,2016-12-31,0.0262,0.49,7.4007,1065.0,49.62600000000001
196,SIRI,2018-12-31,0.0194,0.1026,108.9042,-479.895,14.7365
197,SIRI,2017-12-31,0.0245,0.1101,103.6429,261.926,16.2633
198,SIRI,2016-12-31,0.0802,0.1637,93.4562,243.392,16.2697
199,TEAM,2019-06-30,0.7355,0.7709,0.0,-76.962,24.8913
200,TEAM,2018-06-30,3.8964,4.0002,0.0,29.022,19.2705
