,Ticker,Date,C02,Femp,Fex,Fbrd,Fmg,Gpay,Bch
83,ISRG,2016-12-31,,,14.286,11.111,,0.0,2.0
84,TMUS,2018-12-31,,,11.111,8.333,,0.0,2.0
85,TMUS,2017-12-31,,,11.111,9.091,,0.0,0.0
86,TMUS,2016-12-31,,,11.111,9.091,,0.0,0.0
87,CME,2018-12-31,,,33.333,19.048,,4.0,0.0
88,CME,2017-12-31,,,33.333,15.0,,3.0,0.0
89,CME,2016-12-31,,,35.714,13.043,,0.0,
90,CSX,2018-12-31,106.7207,6.0,28.571,23.077,,0.0,1.0
91,CSX,2017-12-31,111.1678,6.0,0.0,23.077,,0.0,7.0
92,CSX,2016-12-30,115.7614,6.0,55.556,16.667,,0.0,0.0
93,BIDU,2018-12-31,,,0.0,0.0,,,
94,BIDU,2017-12-31,,,0.0,0.0,,0.0,
95,BIDU,2016-12-31,,,20.0,0.0,,0.0,
96,AMOV,2017-12-31,1.8891,43.0,0.0,0.0,,0.0,
97,AMOV,2016-12-31,1.4332,38.34,0.0,0.0,,0.0,
98,VOD,2019-03-31,,,30.769,41.667,,,2.0
99,VOD,2018-03-31,43.6706,38.0,14.286,33.333,26.0,,4.0
100,VOD,2017-03-31,44.9837,38.0,14.286,25.0,25.0,1.0,0.0
101,WBA,2018-08-31,82.2552,67.0,33.333,27.273000000000003,,0.0,0.0
102,WBA,2017-08-31,97.169,66.0,33.333,27.273000000000003,,0.0,1.0
103,WBA,2016-08-31,93.3944,66.0,33.333,30.0,,0.0,1.0
104,ILMN,2018-12-30,,,2.0,0.0,,33.333,
105,ILMN,2017-12-31,,,5.0,0.0,,30.0,1.0
106,ILMN,2017-01-01,,,,0.0,,22.222,0.0
107,ILMN,2016-12-31,,,5.0,,,,
108,VRTX,2018-12-31,,,0.0,33.333,,,0.0
109,VRTX,2017-12-31,,,0.0,33.333,,0.0,2.0
110,VRTX,2016-12-31,,,0.0,33.333,,0.0,0.0
111,MU,2018-08-30,,,12.5,14.286,,,0.0
112,MU,2017-08-31,,30.0,14.286,14.286,,0.0,0.0
113,MU,2016-09-01,,29.41,14.286,14.286,,0.0,1.0
114,TSLA,2018-12-31,,,0.0,27.273000000000003,,,3.0
115,TSLA,2017-12-31,,,0.0,22.222,,0.0,8.0
116,TSLA,2016-12-31,,,0.0,14.286,,0.0,0.0
117,BIIB,2018-12-31,,,30.0,27.273000000000003,,,0.0
118,BIIB,2017-12-31,21.7798,49.6,20.0,27.273000000000003,,0.0,0.0
119,BIIB,2016-12-31,29.7059,49.2,22.222,27.273000000000003,,0.0,0.0
120,MAR,2018-12-31,,,27.273000000000003,30.769,,1.0,
121,MAR,2017-12-31,2220.692,51.0,36.364,28.571,1.0,0.0,50.0
122,MAR,2016-12-31,2058.4067,53.0,25.0,28.571,0.0,3.0,
123,JD,2018-12-31,,,20.0,0.0,,,
124,JD,2017-12-31,,,20.0,0.0,,0.0,
125,JD,2016-12-31,,,16.667,0.0,,0.0,
126,WDAY,2019-01-31,,,28.571,10.0,,,1.0
127,WDAY,2018-01-31,,,38.461,11.111,,,0.0
128,WDAY,2017-01-31,48.96100000000001,37.8,25.0,11.111,33.1,0.0,
129,CTSH,2018-12-31,,,11.111,10.0,,0.0,3.0
130,CTSH,2017-12-31,,,11.111,18.182,,0.0,5.0
131,CTSH,2016-12-31,97.1711,33.3,12.5,9.091,,0.0,1.0
132,ADI,2018-11-03,,,22.222,20.0,,,1.0
133,ADI,2017-10-28,,,27.273000000000003,11.111,,0.0,5.0
134,ADI,2016-10-29,,,33.333,10.0,,0.0,1.0
135,REGN,2018-12-31,30.1407,12.5,25.0,0.0,1.0,48.0,37.0
136,REGN,2017-12-31,27.9326,12.5,23.077,0.0,1.0,47.4,37.1
137,REGN,2016-12-31,30.7781,0.0,25.0,0.0,2.0,,
138,AMAT,2018-10-28,,,0.0,20.0,,,1.0
139,AMAT,2017-10-29,52.3984,,0.0,22.222,,0.0,3.0
140,AMAT,2016-10-30,56.0743,,0.0,27.273000000000003,,0.0,4.0
141,KHC,2018-12-29,,,11.111,18.182,,,3.0
142,KHC,2017-12-30,,,0.0,18.182,,1.0,0.0
143,KHC,2016-12-31,,38.0,0.0,18.182,,0.0,2.0
