,Ticker,Date,divp,ROA,ROE,Aturn
799,EA,2016-06-30,0.0,18.7246,32.7283,0.7243
800,NXPI,2019-06-30,0.0,9.6835,18.3561,0.4191
801,NXPI,2019-03-31,,9.5047,18.1733,0.4122
802,NXPI,2018-12-31,0.26555300000000004,9.6887,18.3755,0.4128
803,NXPI,2018-09-30,0.044304,11.9735,22.9017,0.4219
804,NXPI,2018-07-01,0.0,4.2056,7.3953,0.4064
805,NXPI,2018-04-01,0.0,4.0552,7.4239,0.3902
806,NXPI,2017-12-31,0.0,9.0506,18.1097,0.3782
807,NXPI,2017-10-01,0.0,8.1589,16.9655,0.3804
808,NXPI,2017-07-02,0.0,8.152000000000001,16.7483,0.3867
809,NXPI,2017-04-02,0.0,7.7694,16.1401,0.3872
810,NXPI,2016-12-31,0.0,0.7805,1.7816999999999998,0.3706
811,NXPI,2016-10-02,0.0,3.9465,11.3996,0.5244
812,NXPI,2016-07-03,,5.6264,15.9903,0.4709
813,XEL,2019-06-30,0.878151,2.7127,10.4847,0.2509
814,XEL,2019-03-31,0.666667,2.8261,10.765999999999998,0.2577
815,XEL,2018-12-31,0.9116280000000001,2.8354,10.6601,0.2592
816,XEL,2018-09-30,0.394705,2.8315,10.4726,0.2624
817,XEL,2018-06-30,0.7358490000000001,2.8734,10.8637,0.2653
818,XEL,2018-03-31,0.666667,2.8397,10.595999999999998,0.2702
819,XEL,2017-12-31,0.9755870000000001,2.725,10.2064,0.2709
820,XEL,2017-09-30,0.372439,2.8628,10.5683,0.2754
821,XEL,2017-06-30,0.810573,2.8294,10.5459,0.2809
822,XEL,2017-03-31,0.769874,2.7893,10.3091,0.2808
823,XEL,2016-12-31,0.761927,2.8083,10.3876,0.2778
824,XEL,2016-09-30,0.379615,2.8203,10.2627,0.2797
825,XEL,2016-06-30,0.881948,2.7973,10.2383,0.2819
826,SIRI,2019-06-30,0.210163,10.3909,0.0,0.6815
827,SIRI,2019-03-31,0.341414,10.74,0.0,0.6289
828,SIRI,2018-12-31,0.212127,14.2514,0.0,0.6994
829,SIRI,2018-09-30,0.14345,10.4909,0.0,0.6709999999999999
830,SIRI,2018-06-30,0.16863699999999998,9.8579,0.0,0.6717
831,SIRI,2018-03-31,0.17069099999999998,8.9985,0.0,0.6785
832,SIRI,2017-12-31,,7.9337,0.0,0.6643
833,SIRI,2017-09-30,0.167501,10.419,0.0,0.6236
834,SIRI,2017-06-30,0.230194,9.7978,0.0,0.6335
835,SIRI,2017-03-31,0.22747199999999998,9.8432,0.0,0.6444
836,SIRI,2016-12-31,0.0,9.295,0.0,0.6252
837,SIRI,2016-09-30,0.0,8.1617,0.0,0.5929
