,Ticker,Date,CR,QR,IntT,Wcap
322,QCOM,2016-09-25,2.5507,2.8542,6.3963,1917.0
323,QCOM,2016-06-26,2.5004,2.7837,6.4779,1705.0
324,INTU,2019-04-30,1.4605,1.5749,0.0,-121.0
325,INTU,2019-01-31,0.6662,0.943,0.0,154.0
326,INTU,2018-10-31,0.8398,0.8884,0.0,-132.0
327,INTU,2018-07-31,0.8109999999999999,0.8573,0.0,-80.0
328,INTU,2018-04-30,0.7162,0.8306,0.0,-16.0
329,INTU,2018-01-31,0.2394,0.4149,0.0,189.0
330,INTU,2017-10-31,0.3670000000000001,0.4218,0.0,-104.0
331,INTU,2017-07-31,0.3997,0.4527,0.0,-54.0
332,INTU,2017-04-30,0.6387,0.737,0.0,-24.0
333,INTU,2017-01-31,0.2273,0.4131,0.0,263.0
334,INTU,2016-10-31,0.2774,0.3329,0.0,-44.0
335,INTU,2016-07-31,0.4798,0.5278,0.0,-76.0
336,CELG,2019-06-30,2.53,3.1951,1.211,2588.0
337,CELG,2019-03-31,1.9446,2.533,1.2106,2429.0
338,CELG,2018-12-31,1.4893,1.9985,1.1752,2106.0
339,CELG,2018-09-30,0.6734,1.249,1.0258,2338.0
340,CELG,2018-06-30,0.3339,0.7923,0.9154,2325.0
341,CELG,2018-03-31,0.905,1.5441,0.9244,2207.0
342,CELG,2017-12-31,4.0315,4.6746,0.8874,2157.0
343,CELG,2017-09-30,2.9042,3.3527,0.8709,2090.0
344,CELG,2017-06-30,3.1296,3.6633,0.8691,1990.0
345,CELG,2017-03-31,3.3705,3.9844,0.9077,1883.0
346,CELG,2016-12-31,2.6935,3.2413,0.9297,1872.0
347,CELG,2016-09-30,2.5925,3.1913,0.9259,1858.8
348,CELG,2016-06-30,3.2228,3.9852,0.9555,1775.5
349,ISRG,2019-06-30,3.3664,4.1508,2.9217,1016.6
350,ISRG,2019-03-31,3.7945,4.5343,3.1134,885.3
351,ISRG,2018-12-31,3.7328,4.5642,3.4454,990.6
352,ISRG,2018-09-30,4.4588,5.2841000000000005,3.5858,854.1
353,ISRG,2018-06-30,4.4005,5.1996,3.7691,761.8
354,ISRG,2018-03-31,4.3312,5.1483,3.9433,662.2
355,ISRG,2017-12-31,2.9581,3.7244,4.4213000000000005,666.6
356,ISRG,2017-09-30,3.4868,4.2469,4.4429,612.8
357,ISRG,2017-06-30,3.04,3.8421,4.5076,621.1
358,ISRG,2017-03-31,2.6241,3.3638,4.4335,552.4
359,ISRG,2016-12-31,4.2826,5.0039,4.6505,544.0
360,ISRG,2016-09-30,4.1948,5.0129,4.2506,554.9
361,ISRG,2016-06-30,4.4613,5.2862,4.3201,508.2
362,TMUS,2019-06-30,0.0839,0.2218,18.5271,-4445.0
363,TMUS,2019-03-31,0.108,0.2392,14.3717,3010.0
364,TMUS,2018-12-31,0.1172,0.2895,13.8521,-2634.0
365,TMUS,2018-09-30,0.0384,0.2311,18.6234,-3890.0
366,TMUS,2018-06-30,0.0232,0.1988,16.3064,2628.0
367,TMUS,2018-03-31,0.2045,0.3412,15.4786,3000.0
368,TMUS,2017-12-31,0.1059,0.2722,13.2297,-2701.0
369,TMUS,2017-09-30,0.0912,0.3052,17.0765,2733.0
370,TMUS,2017-06-30,0.0205,0.2152,13.2242,2927.0
371,TMUS,2017-03-31,0.4907,0.6118,13.6761,2872.0
372,TMUS,2016-12-31,0.6096,0.8198,13.7573,-2156.0
373,TMUS,2016-09-30,0.6592,0.8914,13.3811,2924.0
374,TMUS,2016-06-30,0.6328,0.846,11.5807,3254.0
375,CME,2019-06-30,0.031,0.049,0.0,542.1
376,CME,2019-03-31,0.0315,0.0478,0.0,494.2
377,CME,2018-12-31,0.0351,0.0485,0.0,437.3
378,CME,2018-09-30,0.039,0.0492,0.0,332.4
379,CME,2018-06-30,0.0317,0.0434,0.0,406.1
380,CME,2018-03-31,0.0222,0.0334,0.0,419.1
381,CME,2017-12-31,0.0437,0.0515,0.0,328.4
382,CME,2017-09-30,0.0364,0.0447,0.0,354.2
383,CME,2017-06-30,0.0303,0.0391,0.0,390.9
384,CME,2017-03-31,0.0307,0.0402,0.0,388.2
385,CME,2016-12-31,0.0501,0.0595,0.0,338.2
386,CME,2016-09-30,0.0472,0.0596,0.0,361.2
387,CME,2016-06-30,0.0341,0.0458,0.0,391.4
388,CSX,2019-06-30,0.8432,1.3843,0.0,344.0
389,CSX,2019-03-31,1.0436,1.6179,0.0,328.0
390,CSX,2018-12-31,0.5802,1.1076,0.0,324.0
391,CSX,2018-09-30,0.6574,1.2181,0.0,391.0
392,CSX,2018-06-30,0.81,1.4082,0.0,510.0
393,CSX,2018-03-31,1.0524,1.605,0.0,509.0
394,CSX,2017-12-31,0.2212,0.7334,0.0,495.0
395,CSX,2017-09-30,0.3393,0.812,0.0,468.0
396,CSX,2017-06-30,0.6561,1.2632,0.0,633.0
397,CSX,2017-03-31,0.5345,0.9486,0.0,460.0
398,CSX,2016-12-30,0.5,0.9598,0.0,539.0
399,CSX,2016-09-23,0.3336,0.7424,0.0,463.0
400,CSX,2016-06-24,0.3628,0.7625,0.0,545.0
401,BIDU,2019-03-31,2.471,2.5737,0.0,5875.0
402,BIDU,2018-12-31,2.4495,2.5553,0.0,5675.0
403,BIDU,2018-09-30,1.986,2.0897,0.0,5455.0
404,BIDU,2018-06-30,1.5712000000000002,1.6311,0.0,4863.0
405,BIDU,2018-03-31,1.3243,1.3815,0.0,4764.0
406,BIDU,2017-12-31,1.2243,1.28,0.0,4241.0
407,BIDU,2017-09-30,1.1888,1.2408,0.0,4728.0
408,BIDU,2017-06-30,1.1541,1.2054,0.0,4097.0
409,BIDU,2017-03-31,1.3437,1.3955,0.0,3494.577
410,BIDU,2016-12-31,1.9488,2.0379,0.0,3640.687
411,BIDU,2016-09-30,2.4306,2.5628,0.0,4263.833
412,BIDU,2016-06-30,2.7362,2.8835,0.0,4083.324
413,AMOV,2019-06-30,0.0581,0.2994,16.461,69407.477
414,AMOV,2019-03-31,0.0321,0.277,16.05,70771.443
415,AMOV,2018-12-31,0.1513,0.6142,16.7992,138125.902
416,AMOV,2018-09-30,0.0388,0.3553,17.1314,84865.30900000001
417,AMOV,2018-06-30,0.0474,0.3720000000000001,17.8975,92785.322
418,AMOV,2018-03-31,0.0464,0.3164,18.5782,48014.793
419,AMOV,2017-12-31,0.2018,0.5726,17.3495,85624.67300000001
420,AMOV,2017-09-30,0.0629,0.3812,17.1157,74464.618
421,AMOV,2017-06-30,0.0512,0.3542,19.063,67236.315
422,AMOV,2017-03-31,0.029,0.3372,20.163,70917.402
423,AMOV,2016-12-31,0.1661,0.6039,17.4906,5380.705
424,AMOV,2016-09-30,0.042,0.3199,15.9721,52816.368
425,AMOV,2016-06-30,0.104,0.3965,16.1924,65230.277
426,VOD,2019-06-30,0.0,0.0,0.0,0.0
427,VOD,2019-03-31,0.0,0.0,0.0,0.0
428,VOD,2018-12-31,0.0,0.0,0.0,0.0
429,VOD,2018-09-30,0.0,0.0,0.0,0.0
430,VOD,2018-06-30,0.0,0.0,0.0,0.0
431,VOD,2018-03-31,0.0,0.0,0.0,0.0
432,VOD,2017-12-31,0.0,0.0,0.0,0.0
433,VOD,2017-09-30,0.0,0.0,0.0,0.0
434,VOD,2017-06-30,0.0,0.0,0.0,0.0
435,VOD,2017-03-31,0.0,0.0,0.0,0.0
436,VOD,2016-12-31,0.0,0.0,0.0,0.0
437,VOD,2016-09-30,0.0,0.0,0.0,0.0
438,VOD,2016-06-30,0.0,0.0,0.0,0.0
439,WBA,2019-05-31,0.0335,0.3223,10.72,2983.0
440,WBA,2019-02-28,0.0323,0.3417,10.2757,3668.0
441,WBA,2018-11-30,0.039,0.3237,9.8635,3460.0
